"gene_id","gene_name","padj"
"ENSG00000125835.19","SNRPB",3.33456627267585e-08
"ENSG00000130520.11","LSM4",3.34564539452675e-08
"ENSG00000188822.8","CNR2",3.34564539452675e-08
"ENSG00000141384.13","TAF4B",3.35654614933416e-08
"ENSG00000100410.8","PHF5A",3.36295179923907e-08
"ENSG00000167550.11","RHEBL1",3.36295179923907e-08
"ENSG00000124207.17","CSE1L",3.38486687305637e-08
"ENSG00000163825.4","RTP3",3.40569448760513e-08
"ENSG00000213853.10","EMP2",3.41362822256403e-08
"ENSG00000151067.22","CACNA1C",3.45963660419031e-08
"ENSG00000129194.8","SOX15",3.62116938422602e-08
"ENSG00000143520.6","FLG2",3.66466159760583e-08
"ENSG00000165091.18","TMC1",3.70109432379661e-08
"ENSG00000154997.9","SEPTIN14",3.72623065615511e-08
"ENSG00000197852.12","INKA2",3.83296186532107e-08
"ENSG00000177469.13","CAVIN1",3.85290473626254e-08
"ENSG00000135045.7","C9orf40",3.85816323420823e-08
"ENSG00000118520.15","ARG1",3.8666390744125e-08
"ENSG00000183439.9","TRIM61",3.89300230994473e-08
"ENSG00000119203.14","CPSF3",3.92111063972404e-08
"ENSG00000136167.15","LCP1",4.03811125059434e-08
"ENSG00000163467.12","TSACC",4.04155847836221e-08
"ENSG00000134215.16","VAV3",4.21765511830062e-08
"ENSG00000197381.16","ADARB1",4.26480707362907e-08
"ENSG00000179059.10","ZFP42",4.35987828893825e-08
"ENSG00000167311.14","ART5",4.49554545922644e-08
"ENSG00000004779.10","NDUFAB1",4.62690400109082e-08
"ENSG00000180875.5","GREM2",4.75445989001679e-08
"ENSG00000214357.9","NEURL1B",4.79445673863212e-08
"ENSG00000115875.19","SRSF7",4.83661690549464e-08
"ENSG00000156113.24","KCNMA1",5.01363294256598e-08
"ENSG00000123739.11","PLA2G12A",5.02118490585517e-08
"ENSG00000184307.16","ZDHHC23",5.02118490585517e-08
"ENSG00000196917.6","HCAR1",5.02118490585517e-08
"ENSG00000124787.14","RPP40",5.28815739121039e-08
"ENSG00000089351.14","GRAMD1A",5.55266019389607e-08
"ENSG00000159217.10","IGF2BP1",5.55440009533075e-08
"ENSG00000168386.18","FILIP1L",5.59154242511486e-08
"ENSG00000174611.12","KY",5.60784779527016e-08
