,source,type,score,phase,gene_type,gene_name,level,hgnc_id,havana_gene
ENSG00000009790.15,HAVANA,gene,,,protein_coding,TRAF3IP3,1,HGNC:30766,OTTHUMG00000036480.8
ENSG00000009844.16,HAVANA,gene,,,protein_coding,VTA1,2,HGNC:20954,OTTHUMG00000015707.4
ENSG00000009950.16,HAVANA,gene,,,protein_coding,MLXIPL,1,HGNC:12744,OTTHUMG00000129995.8
ENSG00000009954.11,HAVANA,gene,,,protein_coding,BAZ1B,2,HGNC:961,OTTHUMG00000023847.6
ENSG00000010017.13,HAVANA,gene,,,protein_coding,RANBP9,2,HGNC:13727,OTTHUMG00000015642.2
ENSG00000010030.14,HAVANA,gene,,,protein_coding,ETV7,2,HGNC:18160,OTTHUMG00000014594.3
ENSG00000010072.16,HAVANA,gene,,,protein_coding,SPRTN,2,HGNC:25356,OTTHUMG00000038022.3
ENSG00000010165.20,HAVANA,gene,,,protein_coding,EEF1AKNMT,2,HGNC:24248,OTTHUMG00000034912.7
ENSG00000010244.19,HAVANA,gene,,,protein_coding,ZNF207,1,HGNC:12998,OTTHUMG00000132810.4
ENSG00000010256.11,HAVANA,gene,,,protein_coding,UQCRC1,2,HGNC:12585,OTTHUMG00000133539.4
ENSG00000010270.14,HAVANA,gene,,,protein_coding,STARD3NL,2,HGNC:19169,OTTHUMG00000023659.11
ENSG00000010278.15,HAVANA,gene,,,protein_coding,CD9,1,HGNC:1709,OTTHUMG00000044400.14
ENSG00000010282.15,HAVANA,gene,,,protein_coding,HHATL,1,HGNC:13242,OTTHUMG00000133043.5
ENSG00000010292.13,HAVANA,gene,,,protein_coding,NCAPD2,1,HGNC:24305,OTTHUMG00000168513.3
ENSG00000010295.20,HAVANA,gene,,,protein_coding,IFFO1,2,HGNC:24970,OTTHUMG00000141264.3
ENSG00000010310.9,HAVANA,gene,,,protein_coding,GIPR,1,HGNC:4271,OTTHUMG00000182129.6
ENSG00000010319.7,HAVANA,gene,,,protein_coding,SEMA3G,2,HGNC:30400,OTTHUMG00000158570.3
ENSG00000010322.16,HAVANA,gene,,,protein_coding,NISCH,2,HGNC:18006,OTTHUMG00000158571.3
ENSG00000010327.10,HAVANA,gene,,,protein_coding,STAB1,2,HGNC:18628,OTTHUMG00000158574.3
ENSG00000010361.14,HAVANA,gene,,,protein_coding,FUZ,1,HGNC:26219,OTTHUMG00000167281.4
ENSG00000010379.16,HAVANA,gene,,,protein_coding,SLC6A13,2,HGNC:11046,OTTHUMG00000168053.4
ENSG00000010404.18,HAVANA,gene,,,protein_coding,IDS,2,HGNC:5389,OTTHUMG00000022615.9
ENSG00000010438.17,HAVANA,gene,,,protein_coding,PRSS3,2,HGNC:9486,OTTHUMG00000019798.5
ENSG00000010539.12,HAVANA,gene,,,protein_coding,ZNF200,2,HGNC:12993,OTTHUMG00000129317.5
ENSG00000010610.10,HAVANA,gene,,,protein_coding,CD4,1,HGNC:1678,OTTHUMG00000168514.3
ENSG00000010626.15,HAVANA,gene,,,protein_coding,LRRC23,1,HGNC:19138,OTTHUMG00000156668.5
ENSG00000010803.16,HAVANA,gene,,,protein_coding,SCMH1,2,HGNC:19003,OTTHUMG00000005720.3
ENSG00000010810.17,HAVANA,gene,,,protein_coding,FYN,2,HGNC:4037,OTTHUMG00000016305.10
ENSG00000010818.10,HAVANA,gene,,,protein_coding,HIVEP2,2,HGNC:4921,OTTHUMG00000015713.3
ENSG00000010932.17,HAVANA,gene,,,protein_coding,FMO1,2,HGNC:3769,OTTHUMG00000035502.5
ENSG00000011009.11,HAVANA,gene,,,protein_coding,LYPLA2,2,HGNC:6738,OTTHUMG00000002961.5
ENSG00000011021.23,HAVANA,gene,,,protein_coding,CLCN6,2,HGNC:2024,OTTHUMG00000002299.8
ENSG00000011028.14,HAVANA,gene,,,protein_coding,MRC2,2,HGNC:16875,OTTHUMG00000179178.3
ENSG00000011083.9,HAVANA,gene,,,protein_coding,SLC6A7,1,HGNC:11054,OTTHUMG00000130046.4
ENSG00000011105.14,HAVANA,gene,,,protein_coding,TSPAN9,2,HGNC:21640,OTTHUMG00000150333.7
ENSG00000011114.15,HAVANA,gene,,,protein_coding,BTBD7,2,HGNC:18269,OTTHUMG00000171269.3
ENSG00000011132.12,HAVANA,gene,,,protein_coding,APBA3,2,HGNC:580,OTTHUMG00000180915.3
ENSG00000011143.19,HAVANA,gene,,,protein_coding,MKS1,1,HGNC:7121,OTTHUMG00000133714.8
