;seminoma vs non-seminoma Fold Change;seminoma vs non-seminoma pval;seminoma vs non-seminoma fdr;seminoma vs non-seminoma significant;embryonal vs seminoma Fold Change;embryonal vs seminoma pval;embryonal vs seminoma fdr;embryonal vs seminoma significant;embryonal vs non_embryonal_non_seminoma Fold Change;embryonal vs non_embryonal_non_seminoma pval;embryonal vs non_embryonal_non_seminoma fdr;embryonal vs non_embryonal_non_seminoma significant;teratoma vs non-teratoma Fold Change;teratoma vs non-teratoma pval;teratoma vs non-teratoma fdr;teratoma vs non-teratoma significant;KIT-mutated seminoma vs KIT-wildtype seminoma Fold Change;KIT-mutated seminoma vs KIT-wildtype seminoma pval;KIT-mutated seminoma vs KIT-wildtype seminoma fdr;KIT-mutated seminoma vs KIT-wildtype seminoma significant
hsa-mir-1287, mature,MIMAT0005878;1.1962810601225637;0.005254438979863049;0.007594844114998556;True;;;;;-2.548352320783525;0.0005801603853995781;0.0021819075363940653;True;1.823470230033035;0.015290574489575442;0.04211174613522417;True;-1.5179770704243598;2.092900297318009e-06;6.592635936551728e-05;True
hsa-mir-1287, mature,MIMAT0026738;;;;;;;;;;;;;;;;;;;;
hsa-mir-1288, mature,MIMAT0005942;;;;;;;;;;;;;;;;;;;;
hsa-mir-1288, mature,MIMAT0026743;;;;;;;;;;;;;;;;;;;;
hsa-mir-1289-1, mature,MIMAT0005879;;;;;;;;;;;;;;;;;;;;
hsa-mir-129-1, mature,MIMAT0000242;1.4064235280373538;0.15154179731826434;0.17978614663923118;False;;;;;1.5652342831241108;0.16372527115627414;0.2058870371887968;False;3.527404289643923;0.16846446646338092;0.2408683435391319;False;;;;
hsa-mir-129-1, mature,MIMAT0004548;;;;;;;;;;;;;;;;;;;;
hsa-mir-129-2, mature,MIMAT0004605;;;;;;;;;;;;;;;;;;;;
hsa-mir-1290, mature,MIMAT0005880;;;;;;;;;;;;;;;;;;;;
hsa-mir-1291, mature,MIMAT0005881;;;;;;;;;;;;;;;;;;;;
hsa-mir-1292, mature,MIMAT0005943;;;;;;;;;;;;;;;;;;;;
hsa-mir-1292, mature,MIMAT0022948;;;;;;;;;;;;;;;;;;;;
hsa-mir-1293, mature,MIMAT0005883;;;;;;;;;;;;;;;;;;;;
hsa-mir-1294, mature,MIMAT0005884;;;;;;;;;;;;;;;;;;;;
hsa-mir-1295a, mature,MIMAT0005885;;;;;;;;;;;;;;;;;;;;
hsa-mir-1295b, mature,MIMAT0022293;;;;;;;;;;;;;;;;;;;;
hsa-mir-1295b, mature,MIMAT0022294;;;;;;;;;;;;;;;;;;;;
hsa-mir-1296, mature,MIMAT0005794;;;;;;;;;;;;;;;;;;;;
hsa-mir-1296, mature,MIMAT0026637;;;;;;;;;;;;;;;;;;;;
hsa-mir-1298, mature,MIMAT0005800;7.744390477169825;0.02720972095633794;0.03573975252598356;True;9.067435085233457;0.06871181105360115;0.10172042616758602;False;1.3181251004784171;0.3643551161122325;0.4202229005827748;False;;;;;;;;
hsa-mir-1298, mature,MIMAT0026641;8.075411338089967;0.007222127790107249;0.01030398404536853;True;8.024403374165132;0.05973303884324788;0.09157044533330386;False;1.1385415291699956;0.16896216440847836;0.2095373078327366;False;;;;;;;;
hsa-mir-1301, mature,MIMAT0005797;;;;;;;;;;;;;;;;;;;;
hsa-mir-1301, mature,MIMAT0026639;;;;;;;;;;;;;;;;;;;;
hsa-mir-1302-5, mature,MIMAT0005890;;;;;;;;;;;;;;;;;;;;
hsa-mir-1303, mature,MIMAT0005891;;;;;;;;;;;;;;;;;;;;
hsa-mir-1304, mature,MIMAT0005892;;;;;;;;;;;;;;;;;;;;
hsa-mir-1304, mature,MIMAT0022720;;;;;;;;;;;;;;;;;;;;
hsa-mir-1305, mature,MIMAT0005893;;;;;;;;;;;;;;;;;;;;
hsa-mir-1306, mature,MIMAT0005950;;;;;;;;;;;;;;;;;;;;
hsa-mir-1306, mature,MIMAT0022726;;;;;;;;;;;;;;;;;;;;
hsa-mir-1307, mature,MIMAT0005951;1.2741180591351595;0.0001771157837969162;0.0003069388713967501;True;-1.0120754225975832;0.22389891798819167;0.2794110464150161;False;-1.636487406386763;0.0004269322811050594;0.001737865520733536;True;1.297633971351551;0.4541057551556514;0.5120118581620767;False;-1.1034384838341251;0.01899666755794352;0.05092723643193369;False
hsa-mir-1307, mature,MIMAT0022727;-1.147228419027149;0.49119954892687023;0.5211123419704937;False;-1.2792813064857134;0.0021612541240220435;0.004907509364320731;True;-1.5848197753052957;0.04847848682405293;0.07077449975157095;False;-1.562993528552306;0.011544794257687986;0.03402676202265933;True;-1.0126386889013288;0.9170375258378269;0.9471043299636573;False
